Station_Code,noise_change_pct,Period,pop_den_30s,latitude,longitude
HL.ATH,15.84289918062133,Pré-Lockdown (Azul),16736.0,37.97384,23.71767
HT.THE,24.773443386313403,Pré-Lockdown (Azul),16147.0,40.6319,22.9628
II.MSEY,-14.516824294325069,Pré-Lockdown (Azul),352.0,-4.6737,55.4792
II.NIL,5.535912199381233,Pré-Lockdown (Azul),2.0,-24.08794,-58.22915
II.NNA,15.636775350802367,Pré-Lockdown (Azul),1110.0,-11.9875,-76.8422
II.SACV,9.98643068875759,Pré-Lockdown (Azul),63.0,14.9702,-23.6085
II.TAU,-5.996210425346668,Pré-Lockdown (Azul),1062.0,-42.9099,147.3204
IN.PBA,25.74110413621657,Pré-Lockdown (Azul),382.0,11.655733,92.743919
IN.SHL,20.879305104347893,Pré-Lockdown (Azul),2544.0,25.566816,91.855949
IS.AMAZ,3.7975309012521805,Pré-Lockdown (Azul),146.0,31.5325,34.9154
IU.DAV,17.23873875588947,Pré-Lockdown (Azul),37.0,5.177,118.498
IU.KONO,-2.5310354525448773,Pré-Lockdown (Azul),36.0,59.6491,9.5982
IU.OTAV,14.360242526696702,Pré-Lockdown (Azul),26.0,0.2376,-78.4508
IV.CMSN,31.20967481417719,Pré-Lockdown (Azul),899.0,40.8382,14.1818
IV.FIR,13.68755551441204,Pré-Lockdown (Azul),8271.0,43.774366,11.255134
IV.MILN,38.92890099121294,Pré-Lockdown (Azul),8950.0,45.4803,9.2321
KO.ANTB,11.57478332983905,Pré-Lockdown (Azul),202.0,36.8998,30.6538
KO.SAUV,29.035610564127765,Pré-Lockdown (Azul),765.0,40.7402,30.3272
KV.GOM,5.07125881052287,Pré-Lockdown (Azul),5936.0,-1.681242,29.226703
LD.CPNY,31.150465451620164,Pré-Lockdown (Azul),5100.0,40.7911,-73.960197
MD.KIS,26.41204484833571,Pré-Lockdown (Azul),1214.0,46.9975,28.8175
MN.RTC,-15.946463473234054,Pré-Lockdown (Azul),2494.0,33.9881,-6.8569
MQ.ZAM,6.873969821254406,Pré-Lockdown (Azul),569.0,14.58501,-61.02243
NC.MCY,4.667137355785442,Pré-Lockdown (Azul),0.0,37.642929,-119.029137
NC.MLI,-15.166675303082044,Pré-Lockdown (Azul),0.0,37.636761,-119.017906
NE.BCX,24.083452117239446,Pré-Lockdown (Azul),6554.0,42.335,-71.1705
NE.WES,36.39851884066828,Pré-Lockdown (Azul),148.0,42.3848,-71.3218
NE.WSPT,19.667127783098074,Pré-Lockdown (Azul),391.0,41.1712,-73.327797
NL.ALK1,8.932423562984297,Pré-Lockdown (Azul),3043.0,52.633821,4.744356
NP.1799,-17.681181724864693,Pré-Lockdown (Azul),2197.0,37.271133,-121.986237
NS.BER,13.868855328093609,Pré-Lockdown (Azul),618.0,60.38381,5.33389
NS.DOMB,27.252448513803373,Pré-Lockdown (Azul),2.0,62.0732,9.1122
NS.HOMB,-1.8932799666636555,Pré-Lockdown (Azul),84.0,58.2702,8.5052
NS.ODLO,7.7471136793287165,Pré-Lockdown (Azul),603.0,63.455,10.4458
NS.STAV,-13.205424175985108,Pré-Lockdown (Azul),1227.0,58.9348,5.7022
NS.TRO,25.623961058134505,Pré-Lockdown (Azul),31.0,69.6345,18.9077
OE.DAVA,8.288105330140176,Pré-Lockdown (Azul),15.0,47.2867,9.8803
OE.VIE,29.58277112688208,Pré-Lockdown (Azul),4625.0,48.2483,16.3617
ON.TIJ01,15.704225646185662,Pré-Lockdown (Azul),13.0,-25.908848,-49.024242
PA.BRU2,-1.855283378677619,Pré-Lockdown (Azul),68.0,8.794,-82.687798
PF.PRO,22.169532498608802,Pré-Lockdown (Azul),1129.0,-20.898865,55.452617
PT.HILB,8.181449426139011,Pré-Lockdown (Azul),2453.0,19.7,-155.08
QM.KNKL,-10.216896539708955,Pré-Lockdown (Azul),272.0,-12.95713,45.1042
RM.SZP,-1.2690881015123239,Pré-Lockdown (Azul),25.0,17.552,120.455002
RO.BTMR,32.833133253301305,Pré-Lockdown (Azul),10501.0,44.437,26.1067
S1.AUALB,-1.064284537060388,Pré-Lockdown (Azul),326.0,-34.9995,117.904602
S1.AUDAR,11.753800905589472,Pré-Lockdown (Azul),1495.0,-35.252998,149.1377
S1.AUKSC,16.57370424654072,Pré-Lockdown (Azul),3869.0,-37.968399,145.158401
S1.AUUHS,1.7050736491931886,Pré-Lockdown (Azul),512.0,-35.358898,150.469604
SV.PAVA,-3.787081179412212,Pré-Lockdown (Azul),2014.0,13.71299,-88.937119
TC.BELE,19.905768583621153,Pré-Lockdown (Azul),2706.0,9.976,-84.188
TC.HEME,23.999012700109233,Pré-Lockdown (Azul),8315.0,9.99532,-84.13678
TC.MEXI,27.938098609143026,Pré-Lockdown (Azul),5197.0,9.941,-84.086
TC.SJS1,31.786415436898338,Pré-Lockdown (Azul),4008.0,9.93808,-84.05211
US.AAM,10.00173970051629,Pré-Lockdown (Azul),137.0,42.3012,-83.6567
YS.CN19,-42.16504402970689,Pré-Lockdown (Azul),122.0,42.5351,1.717
